url,content
https://zozo.jp/_help/default.html?id=5ece39d39ed84e001ea6e342,商品のサイズ商品のサイズは、商品ページ下部にある「サイズ」の項目をご覧ください。当サイトでは、商品のサイズをお客様によりわかりやすくお伝えするために、独自の採寸方法によるサイズを表記しております。採寸方法については「サイズ」の下に掲載しております「サイズガイド」をご覧ください。また、「アイテム説明」にモデルの着用サイズを掲載している商品もございますので、サイズ選びの参考としてご覧ください。【靴のサイズについて】靴のサイズは、すべてcm表記に換算して掲載をしております。※商品の形や造りなどにより着用感に個人差が生じる場合がございます。表記は目安としてお考えください。【USED商品のサイズについて】参考サイズにはZOZOUSED規定のサイズを表記しているため、メーカー規定のサイズとは異なる場合がございます。表記はあくまで目安としてご参考にしてください。また、新品画像を使用している商品は、ZOZOTOWNで新品として販売していた時の採寸情報を使用しているため、実物の採寸と異なる場合がございます。※品質タグがない商品やタグが擦れて確認ができない商品は、サイズの特定ができない場合がございます。
https://zozo.jp/_help/default.html?id=5ece39d39ed84e001ea6e343,商品のカラー・デザイン商品の画像は、できる限り実際の商品に近づけた状態で掲載をしております。色味・デザインにつきましては、商品ページの画像にて必ずご確認ください。※お客様のモニターの設定により、色味に違いが発生してしまう場合がございます。【USED商品のカラーについて】買取時にZOZOUSEDにて設定したカラーを表記しているため、メーカー設定のカラー表記と異なる場合がございます。ヘルプページ「ZOZOUSED商品の掲載画像」の内容もあわせてご確認ください。※新品画像を使用した商品の場合、お届けする商品は画像1枚目の商品です｡※類似のカラー展開のある商品や複数のカラーが使用されている場合は、メインのカラーを設定しております。
https://zozo.jp/_help/default.html?id=5ece47a3cb53b30020aa303e,商品の販売価格サイトの表示価格は、販売ショップがZOZOTOWNで販売するために設定した価格（税込）で表示しております。※販売ショップによっては、消費税の計算上、表示価格と商品のタグ（下げ札）に記載されている価格に1円の差異が生じる場合がございます。※ZOZOUSEDの商品は、市場相場を基に当社が価格を設定しております。セール価格元の販売価格よりも値下げされた価格を指します。タイムセール価格元の販売価格よりも値下げされており、その価格での販売期間を定めているものを指します。
https://zozo.jp/_help/default.html?id=5ece39d49ed84e001ea6e371,ZOZOUSEDの取扱い商品ZOZOUSEDでは、買取サービスや買い替え割・いつでも買い替え割サービスにて、買取をした中古商品を販売しています。※買取サービスは2019年12月17日をもって新規買取受付を終了いたしました。販売されている商品は、ZOZOUSEDの基準を満たした商品でございますが、真贋確認を証明する書類は、発行しておりませんのでご了承ください。
https://zozo.jp/_help/default.html?id=5ece39d49ed84e001ea6e372,ZOZOUSED商品の掲載画像撮影時の照明やカメラの角度、お客様の端末設定により、実際の色味と異なる場合がございます。また、商品により画像枚数・商品撮影部位が異なります。※画像追加のご要望にはお応えいたしかねております。【新品画像の商品について】一部の商品に新品販売時の画像を使用しております。アイテム説明欄に注意事項、ZOZOTOWNで新品として発売した時期の記載がございます。
https://zozo.jp/_help/default.html?id=5ece39d49ed84e001ea6e373,ZOZOUSED商品のコンディションZOZOUSED規定の基準をもとにコンディションを設定しております。
https://zozo.jp/_help/default.html?id=5ece39d49ed84e001ea6e375,ZOZOUSED商品の素材買取サービスにより買取した商品は、メインの素材のみを記載しており、素材の割合について記載をしておりません。新品画像を使用している商品は、ZOZOTOWNで新品として販売していた時の情報を使用しているため、付属品を含め、全ての素材が記載されていることがございます。※品質タグがない商品やタグが擦れて確認ができない商品は、 素材の特定ができない場合がございます。
https://zozo.jp/_help/default.html?id=5ece47a4cb53b30020aa303f,ZOZOUSED商品の価格商品の買取を行った時点での中古市場の需要を加味し、お値段を付けております。なお、商品のコンディション含めてお値段を付けておりますが、買取時期によりコンディションが同じ商品でも、販売価格が異なる場合がございます。
https://zozo.jp/_help/default.html?id=5ece3e85d47784001e0e4219,ZOZOUSED商品の付属品商品画像や素材・採寸において付属品に関する情報がある場合でも、アイテム説明欄に記載のあるものだけが付属します。ご購入いただく前に、アイテム説明欄にて付属品の有無の確認をお願いします。
https://zozo.jp/_help/default.html?id=5ece39d49ed84e001ea6e36f,セールに関する注意事項ZOZOTOWNでの販売商品は、予告なく価格を変更する場合がございます。購入後のセール価格となった場合でも、後から値引きを適用することはできません。また、セール価格から通常価格へ戻ることもございますので、あらかじめご了承ください。なお、セール期間中は大変多くのご注文をいただきますため、発送の混雑が予想されます。商品は発送準備が整い次第、順次発送いたしますが、お届けまでにお時間がかかる可能性がございますため、お急ぎの場合は、注文時に配送日時の指定をお願いいたします。
